2020-09-21 17:14:14 status half-installed libuuid1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:14 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:14 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:14 install libzstd1:amd64 <none> 1.3.3+dfsg-2ubuntu1
2020-09-21 17:14:14 status half-installed libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2020-09-21 17:14:14 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2020-09-21 17:14:14 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2020-09-21 17:14:14 install login:amd64 <none> 1:4.5-1ubuntu1
2020-09-21 17:14:14 status half-installed login:amd64 1:4.5-1ubuntu1
2020-09-21 17:14:14 status unpacked login:amd64 1:4.5-1ubuntu1
2020-09-21 17:14:14 status unpacked login:amd64 1:4.5-1ubuntu1
2020-09-21 17:14:14 install lsb-base:all <none> 9.20170808ubuntu1
2020-09-21 17:14:14 status half-installed lsb-base:all 9.20170808ubuntu1
2020-09-21 17:14:14 status unpacked lsb-base:all 9.20170808ubuntu1
2020-09-21 17:14:14 status unpacked lsb-base:all 9.20170808ubuntu1
2020-09-21 17:14:14 upgrade mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2020-09-21 17:14:14 status half-configured mawk:amd64 1.3.3-17ubuntu3
2020-09-21 17:14:14 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-09-21 17:14:14 status half-installed mawk:amd64 1.3.3-17ubuntu3
2020-09-21 17:14:14 status half-installed mawk:amd64 1.3.3-17ubuntu3
2020-09-21 17:14:14 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-09-21 17:14:14 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-09-21 17:14:14 install mount:amd64 <none> 2.31.1-0.4ubuntu3
2020-09-21 17:14:14 status half-installed mount:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:14 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:14 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:14 install ncurses-base:all <none> 6.1-1ubuntu1
2020-09-21 17:14:14 status half-installed ncurses-base:all 6.1-1ubuntu1
2020-09-21 17:14:15 status unpacked ncurses-base:all 6.1-1ubuntu1
2020-09-21 17:14:15 status unpacked ncurses-base:all 6.1-1ubuntu1
2020-09-21 17:14:15 install ncurses-bin:amd64 <none> 6.1-1ubuntu1
2020-09-21 17:14:15 status half-installed ncurses-bin:amd64 6.1-1ubuntu1
2020-09-21 17:14:15 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2020-09-21 17:14:15 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2020-09-21 17:14:15 install passwd:amd64 <none> 1:4.5-1ubuntu1
2020-09-21 17:14:15 status half-installed passwd:amd64 1:4.5-1ubuntu1
2020-09-21 17:14:15 status unpacked passwd:amd64 1:4.5-1ubuntu1
2020-09-21 17:14:15 status unpacked passwd:amd64 1:4.5-1ubuntu1
2020-09-21 17:14:15 upgrade perl-base:amd64 5.26.1-6 5.26.1-6
2020-09-21 17:14:15 status half-configured perl-base:amd64 5.26.1-6
2020-09-21 17:14:15 status unpacked perl-base:amd64 5.26.1-6
2020-09-21 17:14:15 status half-installed perl-base:amd64 5.26.1-6
2020-09-21 17:14:16 status half-installed perl-base:amd64 5.26.1-6
2020-09-21 17:14:16 status unpacked perl-base:amd64 5.26.1-6
2020-09-21 17:14:16 status unpacked perl-base:amd64 5.26.1-6
2020-09-21 17:14:16 install procps:amd64 <none> 2:3.3.12-3ubuntu1
2020-09-21 17:14:16 status half-installed procps:amd64 2:3.3.12-3ubuntu1
2020-09-21 17:14:16 status unpacked procps:amd64 2:3.3.12-3ubuntu1
2020-09-21 17:14:16 status unpacked procps:amd64 2:3.3.12-3ubuntu1
2020-09-21 17:14:16 install sed:amd64 <none> 4.4-2
2020-09-21 17:14:16 status half-installed sed:amd64 4.4-2
